reps,variety,Yield,id,CH160323,CH160328,CH160329,CH160331,CH160414,CH160419,CH160421,CH160425,CH160504,CH160510,CH160512,CH160516,CH160523,CH160524,CH160525,CH160609,CH160616,CH160622,CHsd160323,CHsd160328,CHsd160329,CHsd160331,CHsd160414,CHsd160419,CHsd160421,CHsd160425,CHsd160504,CHsd160510,CHsd160512,CHsd160516,CHsd160523,CHsd160524,CHsd160525,CHsd160609,CHsd160616,CHsd160622,MCH160323,MCH160328,MCH160329,MCH160331,MCH160414,MCH160419,MCH160421,MCH160425,MCH160504,MCH160510,MCH160512,MCH160516,MCH160523,MCH160524,MCH160525,MCH160609,MCH160616,MCH160622
3,Tam Hot-Ty,28.600000000000000,14,0.082207881866198,0.151361599321524,0.155775258900116,0.141059351845022,0.275064544186820,0.338258820230888,0.408860015591304,0.406354681724679,0.463410543733395,0.428333244938543,0.409366018673485,0.322967005401815,0.352882820530422,0.375747089244793,0.388950844124832,0.309870254830138,0.247161517873225,0.263912904670758,0.019044850402736,0.072026287811676,0.058818308820390,0.056362008096408,0.219127922709720,0.254151578961567,0.245154761974889,0.253059597016764,0.245130110165875,0.204837899353736,0.231147577785364,0.248621743345201,0.245813923956969,0.227773564297348,0.238126214193885,0.220029969984169,0.197632942125862,0.178563628387586,0.166831970214844,0.376899719238281,0.270614624023438,0.369384765625000,0.662467241287231,0.817190170288086,0.757410049438477,0.815479278564453,0.787284851074219,0.791643142700195,0.792189836502075,0.823390245437622,0.805339097976685,0.851916551589966,0.788167238235474,0.769821166992188,0.707426071166992,0.846921920776367
3,Prunus,17.000000000000000,15,0.063682101610739,0.181711782775852,0.204382893223090,0.196305545968175,0.562509582172997,0.572940486851548,0.690451270494706,0.784496604208672,0.717962647487583,0.805061958714535,0.638981914154180,0.582322708472494,0.754214592041451,0.757586809847527,0.744637227840148,0.689157369695742,0.649002003066677,0.385712913122490,0.009506232388528,0.095410260320446,0.095189829884714,0.091810722609289,0.346606196564687,0.357433665313144,0.350478843929007,0.301753492147675,0.369909394495967,0.276133710147688,0.395543998106205,0.390341126282572,0.259919357785210,0.259698032451587,0.304276596527231,0.227580675240818,0.241555823602132,0.313635595219903,0.089040756225586,0.415861129760742,0.382421493530273,0.539707183837891,1.024516344070430,1.106807708740230,1.161598205566400,1.182592391967770,1.202678680419920,1.222843170166010,1.205632448196410,1.208506822586060,1.110574007034300,1.171622514724730,1.131316423416130,1.116140365600580,1.087591171264640,1.232194900512690
3,Mykonos,35.200000000000000,16,0.069196087364644,0.160571684320289,0.163889170058106,0.119931292490288,0.434671652494509,0.449776191016792,0.546310374492290,0.584725844364747,0.642263316171868,0.661665634663989,0.547267625347865,0.480666034898118,0.549093986309454,0.597745691084953,0.569910608104483,0.573924695687300,0.502116598428944,0.349780745752181,0.017485790508134,0.076779012473435,0.065326076888987,0.054580057926970,0.230032584211969,0.267293598481088,0.257033796107002,0.230133652337087,0.218212156503391,0.175619788860864,0.306587491382479,0.295383183655321,0.230975909604347,0.190111745362127,0.236341461999326,0.173160977176289,0.203202061228089,0.250156901873497,0.160036087036133,0.332292556762695,0.305210113525391,0.310821533203125,0.731465578079224,0.798427581787109,0.822690963745117,0.847946166992188,0.928394317626953,0.909585952758789,0.953522920608521,0.882783174514771,0.875975847244263,0.854916810989380,0.838866472244263,0.829622268676758,0.823228836059570,0.934143066406250
3,Rio Grande,41.600000000000000,17,0.066767589555800,0.135981802193515,0.179389394426204,0.215523438170587,0.366478040105102,0.542018649044406,0.659187962859869,0.711554610560126,0.811454009811548,0.663913828008035,0.671426198356133,0.538849510751327,0.549095439469777,0.531541529893588,0.571486559677896,0.432227977531637,0.356691620516964,0.261623964366346,0.013969153792555,0.089662423058032,0.093052524165881,0.116760588214289,0.300932558354408,0.337677858650013,0.322439525509207,0.337740276275256,0.384273985036272,0.316784744788621,0.364326217015992,0.337076136937796,0.333187490452210,0.313662902029529,0.325182048391194,0.285072521104456,0.265471611191840,0.245606290359290,0.114225387573242,0.398694992065430,0.395265579223633,0.491413116455078,0.943486452102661,1.035512924194330,1.117464065551750,1.151977539062500,1.273376464843750,1.148660659790030,1.193387269973750,1.132712602615350,1.133582353591910,1.104169130325310,1.078339815139770,0.920206069946289,0.806987762451172,0.919269561767578
3,Seri,24.800000000000000,18,0.126491742914674,0.203635405329792,0.177980998025012,0.231033203016397,0.536748650133148,0.551631973284919,0.676732966990584,0.657793518888770,0.679935911217680,0.651498585504176,0.678828714653226,0.661695287787761,0.697858862773305,0.697601353358537,0.717448892911822,0.555893831869898,0.515123477848374,0.466188665410307,0.058174202749022,0.104428330173538,0.082317305959291,0.097264635308081,0.272393590787713,0.300567995891757,0.267609233064478,0.277087609860298,0.336314227017922,0.369268328542345,0.395315807132857,0.372106190129905,0.338075088387965,0.330068042020552,0.342829819979543,0.326380745152686,0.331714059346671,0.331441145170686,0.388454437255859,0.454381942749023,0.408979415893555,0.459280014038086,1.419068574905390,0.955488204956055,1.008499145507810,1.058864593505850,1.206392288208000,1.280477523803710,1.313596010208130,1.270344972610470,1.209712266921990,1.235455751419060,1.258939027786250,1.120943069458000,1.151990890502930,1.231096267700190
3,Tam Hot-Ty,22.000000000000000,19,0.139643338410389,0.198741169695240,0.207668900757292,0.200363037028688,0.484821944712762,0.422430694504406,0.494736544448384,0.486383163558583,0.499157828462894,0.420160581525055,0.467917511050278,0.400396399224755,0.437404955601179,0.410967838126157,0.433766034207422,0.370339647388489,0.299852059957750,0.308505432431634,0.064666375504331,0.110631789332804,0.101819958000878,0.086564747541013,0.236135356532204,0.259404899199280,0.246111210583281,0.250353165858334,0.237833267368355,0.254249997745665,0.260218419390868,0.280209588567078,0.273063449443941,0.263203363599886,0.271999284126774,0.252725092497127,0.223829099671982,0.210260465605243,0.367761611938477,0.456636428833008,0.406385421752930,0.366054534912109,1.351336717605590,0.866262435913086,0.847318649291992,0.860254287719727,0.845632553100586,0.862943649291992,0.911769151687622,0.917836427688599,0.908679246902466,0.862426042556763,0.858485460281372,1.075773239135740,0.952894210815430,1.017721176147460
3,Shorouq,37.700000000000000,20,0.079548996118298,0.159317345333178,0.199858661007993,0.222974392372792,0.482639360962831,0.535423250840592,0.617891562737782,0.635891258086304,0.690309013485061,0.620801260981578,0.537609152482409,0.465448201593779,0.513812432304763,0.522148748307976,0.515464677231469,0.449633967300235,0.375848969030927,0.233687200420326,0.018211918323914,0.103185349203362,0.088917486014047,0.084969186821672,0.274027994394307,0.272307849462935,0.241199322191141,0.228574734296566,0.253845673261764,0.273132824928437,0.343912320497987,0.353381331760159,0.341181764453805,0.334315076821039,0.346874640763101,0.319323314829815,0.299906185758237,0.234177831810759,0.123762130737305,0.469593048095703,0.409955978393555,0.434455871582031,0.889453172683716,0.924242019653320,0.957710266113281,0.998456954956055,1.080652236938470,1.081653594970700,1.155371904373160,1.122037172317500,1.104356050491330,1.102809190750120,1.129414796829220,1.146802902221680,0.961523056030273,1.079626083374020
3,DRP-8551,22.800000000000000,21,0.063301242666042,0.169609086722103,0.177894131021762,0.142632049824198,0.466263810083004,0.520676439395089,0.599841398461007,0.691545437354433,0.633418144302323,0.667321694076787,0.520053365594723,0.542219914259153,0.589854396252180,0.641629996671379,0.565192311004615,0.556395236521842,0.505432568813338,0.306875848800210,0.009130016989278,0.083347993612346,0.070327814907603,0.064922789281548,0.292175079939156,0.310925575822588,0.309196944028086,0.233730277254709,0.283012279067256,0.256020686547893,0.360551929538512,0.340288404165691,0.310360684547538,0.267140600227138,0.335922564234491,0.303792102172313,0.294212028681534,0.267558094422017,0.092926025390625,0.362916946411133,0.325130462646484,0.355129241943359,0.930932283401489,0.971725463867188,1.018610000610350,1.040987014770500,1.128749847412100,1.095735549926750,1.117127656936640,1.065573930740350,1.026129961013790,1.023627519607540,1.069672822952270,1.004501342773430,0.993314743041992,1.054300308227530
3,Rio Grande,11.199999999999900,22,0.073065772341753,0.167016570660738,0.149483621630921,0.105046049643061,0.341810205017402,0.420533748685456,0.497384741221085,0.495832879859281,0.490254793254311,0.472632070758507,0.413200851618437,0.417594585712496,0.449975713126121,0.456453968899476,0.472575152692783,0.349401342800944,0.234002514477194,0.246011418049821,0.019262056257781,0.071699879535638,0.057964485091801,0.060055439577274,0.205113248901243,0.216676723919781,0.224553584140879,0.194014681369379,0.220430835336517,0.167434359024325,0.243551750741771,0.228427340953551,0.196841414720290,0.183934700410057,0.205752859170246,0.230338712224831,0.196221291279784,0.131925609843303,0.131553649902344,0.315864562988281,0.301305770874023,0.356662750244141,0.729216814041138,0.795309066772461,0.880123138427734,0.874500274658203,0.849760055541992,0.846712112426758,0.825936555862427,0.875916719436646,0.816787004470825,0.840176820755005,0.821694612503052,0.797794342041016,0.764205932617188,0.835100173950195
3,DRP-8551,63.399999999999900,23,0.079107047232815,0.151148436717498,0.171035701119177,0.157525169676629,0.400087036987222,0.523728059293344,0.619488974366817,0.602387252152844,0.798176719165876,0.739498443576807,0.564694554672176,0.513604261046936,0.597181910476725,0.651853999121449,0.658036564643572,0.561479733174461,0.534390234867529,0.302681979143239,0.017423997786446,0.080493726780175,0.077512734424442,0.072602080948547,0.318936118140842,0.346835185484243,0.353761367160741,0.388398442967198,0.408185883436566,0.399868548131274,0.470071105483002,0.447505368796995,0.428373271842953,0.403976780305062,0.438602456907730,0.294253449004433,0.285651541862033,0.302999948115462,0.122442245483398,0.391187667846680,0.349674224853516,0.441059112548828,0.992701768875122,1.001428604125970,1.061630249023430,1.067558288574210,1.202087402343750,1.196748733520500,1.220319032669060,1.352730989456170,1.180289506912230,1.306630373001090,1.245501756668090,1.056772232055660,1.034780502319330,1.117706298828120
