reps,variety,Yield,id,CC160323,CC160328,CC160329,CC160331,CC160414,CC160419,CC160421,CC160425,CC160504,CC160510,CC160512,CC160516,CC160523,CC160524,CC160525,CC160609,CC160616,CC160622
3,Shorouq,24.800000000000000,1,8.435725348477020,15.097941567065000,18.433786078098400,18.821856653620300,28.851830553958200,30.729009552538900,32.429526994744300,31.784343103286800,24.234972677595600,27.220320308503500,36.249151967435500,33.850845025510200,29.408095668258200,32.129462946294600,32.433393944185300,26.323430868885400,39.238952536824800,25.379710144927500
3,Mykonos,36.200000000000000,2,5.576068376068370,12.617592457395500,14.690152801358200,18.029048500895300,29.101636848115700,27.547511312217100,31.028029941073400,26.306302088210500,26.018735362997600,22.750672750672700,31.949626865671600,25.641229254347600,23.854508065034300,24.853735373537300,30.326508024349700,21.310677463604500,30.633560168834500,43.088256536183700
3,Rio Grande,10.800000000000000,3,4.954800712231200,8.899636243386240,12.587011884550000,12.029109589041000,25.493784793716100,26.029160382101500,29.362004901573200,26.200564971751400,20.480093676814900,25.666856123708900,35.816631130063900,31.788105867346900,24.852730115888000,29.559125723893100,31.216640502354700,25.841396952508000,53.055818761305800,68.780875343059300
3,Tam Hot-Ty,17.800000000000000,4,3.784615384615380,7.802124833997340,12.446663253114800,11.286081213307200,20.793578676359200,20.422322775263900,25.571191398529500,24.783427495291900,20.086342229199300,24.703891708967800,37.219616204690800,32.395966198979500,27.205185631837300,29.635718288810000,28.306010928961700,30.291163325810800,50.973587815693000,70.738119312436800
3,Rio Grande,38.799999999999900,5,8.886594389950090,14.921563745019900,16.086587436332700,18.496222126666200,23.122065727699500,22.435394670688700,26.066938906237400,23.180320150659100,25.394223263075700,21.130917247078200,30.686058344640400,26.424984056122400,22.939828202986000,25.418166816681600,27.735188898061800,18.690571403181300,22.344732535102000,33.475371948577200
3,SV8579TE,36.399999999999900,6,7.695749440715880,15.640057570764000,18.373442566990900,17.054180887372000,35.093262276360800,34.787330316742000,35.573750943996100,33.256859256484600,26.811337814993900,32.503049620273000,43.046132971506100,36.675136980862300,33.190624459436000,35.680926583224300,35.427786499215000,33.048604159715200,41.492620439988800,28.356714880529200
3,Rio Grande,1.400000000000000,7,6.629251700680270,14.954764276228400,18.310696095076400,16.438356164383500,28.047202131709100,26.787330316742000,28.355658015024400,26.563088512241000,10.918367346938700,14.973639339121500,31.159914712153500,26.024378623044500,15.064309373252400,22.714365776200200,24.164715066354400,14.839283728172600,27.573434404341400,18.910876787519800
3,Prunus,33.399999999999900,8,4.962585034013600,11.848439575033200,15.213773681515600,15.543549794150500,27.780738484963800,28.259426847662100,33.706221835718200,32.940818428691800,32.495970436765300,31.655058434659400,43.033412483039300,35.765901691415800,32.231458351279100,35.497851671959600,38.196721311475400,21.348014681348000,21.091189512242100,29.625884732052500
3,Seri,27.199999999999900,9,6.405093787644120,14.583333333333300,18.153650254668900,20.364560216715800,36.075371145793600,36.812468577174400,41.041567128523600,40.313088512241000,34.566744730679100,38.971106412966800,44.788839891451800,41.705346738035500,36.634834602314200,40.467027834858900,43.244093249990100,34.286352468170600,48.441616862669400,53.921710241224900
3,SV8579TE,17.399999999999900,10,1.452417828256750,3.807685922974760,7.232597623089980,6.929546562652360,24.815069015480800,26.055304172951200,30.105146651909200,28.122951587227200,19.711163153786100,22.564333731846400,31.699457259158700,27.523118622448900,24.842794383667800,28.915391539153900,29.687743950039000,24.299855410966500,38.056680161943300,57.238191535461500
3,Seri,41.200000000000000,11,5.962585034013600,13.746279761904700,17.007640067911700,20.814521189488600,28.408831366577800,31.282051282051200,33.801090995335500,32.730124543496500,31.955503512880500,32.350116614076000,44.012890094979600,39.009767331056900,32.022363601310900,39.717915187745100,38.754879000780600,28.838507929417000,28.340685002594700,30.736674851942700
3,Prunus,15.800000000000000,12,5.931623931623930,10.582669322709100,13.760304375396300,12.993770948438100,31.572769953051600,32.153445512820500,36.128364389233900,36.982109227871900,32.346581750992600,34.078748799560900,45.965884861407200,41.018819979353600,35.099152578827300,42.724272427242700,40.082219938335000,34.677239222693700,40.057408478461100,25.052722808031200
3,Rio Grande,35.000000000000000,13,6.969387755102040,14.336404382470100,18.328639699607400,19.805935199498000,33.104552733928100,35.187531422825500,39.034706300893300,39.254611855042600,37.511773940345300,42.944892944892900,53.014755766621400,50.085364885253700,41.640106813679000,51.430768076807600,44.663609771523400,32.682599955327200,31.148383779962700,9.253213924599160
3,Tam Hot-Ty,28.600000000000000,14,4.386385426653880,11.487383798140700,14.040365250042600,17.496467842005000,20.350598212933500,22.992788461538400,25.513732660280600,22.299905838041400,20.234192037470700,16.806146247770600,26.409381663113000,19.467164297625600,12.046687914549000,20.646366523444700,22.950819672131100,13.940726917266500,15.388899599425900,31.848909432327000
3,Prunus,17.000000000000000,15,2.789743589743590,5.509213147410350,8.741511035653650,8.293668406311690,24.606239588066000,27.710336538461500,31.777215590165200,29.891713747645900,28.485558157689300,32.176415315950200,42.444029850746200,36.456761693004000,31.951503144112300,36.934429291985800,35.784543325526900,33.386196113468800,37.960285328706300,51.809908998988800
3,Mykonos,35.200000000000000,16,3.485823859745240,8.820966135458160,13.996179966044100,15.435530437987500,35.827041866849600,36.138763197586700,42.104217178743100,39.710451977401100,34.681762786492100,35.654508750955400,44.234006734006700,42.460096879218600,33.174817385343700,39.364253183381300,38.559718969555000,23.405627850072200,31.499689394426200,53.716596851076100
